n_feats,comb,mse
1,"('abs_wv_596_162',)",145.0000248024146
1,"('abs_wv_609_129',)",146.61423795055794
1,"('abs_wv_587_344',)",148.64232459905236
1,"('abs_wv_627_801',)",155.56912724696556
1,"('abs_wv_580_083',)",158.8956167454431
1,"('abs_wv_573_34',)",163.1446706161742
1,"('abs_wv_652_178',)",168.79064786196122
1,"('abs_wv_744_502',)",171.87224692463883
1,"('abs_wv_567_635',)",173.3577464461932
1,"('abs_wv_727_386',)",177.07443666670028
2,"('abs_wv_687_967', 'abs_wv_552_075')",154.91359654336065
2,"('abs_wv_552_075', 'abs_wv_744_502')",155.47554494633695
2,"('abs_wv_727_386', 'abs_wv_552_075')",155.9185691546359
2,"('abs_wv_652_178', 'abs_wv_552_075')",157.21711142863245
2,"('abs_wv_687_967', 'abs_wv_555_187')",157.79704403809433
2,"('abs_wv_555_187', 'abs_wv_744_502')",157.87472875672324
2,"('abs_wv_627_801', 'abs_wv_552_075')",158.016457761792
2,"('abs_wv_727_386', 'abs_wv_555_187')",158.46367512432667
2,"('abs_wv_609_129', 'abs_wv_552_075')",159.09172526811204
2,"('abs_wv_652_178', 'abs_wv_555_187')",159.73686574908314
3,"('abs_wv_627_801', 'abs_wv_580_083', 'abs_wv_555_187')",57.75105825188447
3,"('abs_wv_627_801', 'abs_wv_580_083', 'abs_wv_552_075')",60.81465141350565
3,"('abs_wv_609_129', 'abs_wv_580_083', 'abs_wv_552_075')",62.08499402284432
3,"('abs_wv_609_129', 'abs_wv_580_083', 'abs_wv_555_187')",66.89493273334314
3,"('abs_wv_652_178', 'abs_wv_580_083', 'abs_wv_555_187')",70.56583062533893
3,"('abs_wv_627_801', 'abs_wv_580_083', 'abs_wv_558_817')",70.60893678948152
3,"('abs_wv_652_178', 'abs_wv_580_083', 'abs_wv_552_075')",74.86349520256118
3,"('abs_wv_652_178', 'abs_wv_580_083', 'abs_wv_558_817')",81.82325208240853
3,"('abs_wv_609_129', 'abs_wv_580_083', 'abs_wv_558_817')",84.84276699824957
3,"('abs_wv_627_801', 'abs_wv_587_344', 'abs_wv_555_187')",88.17518647712735
4,"('abs_wv_609_129', 'abs_wv_580_083', 'abs_wv_552_075', 'abs_wv_744_502')",59.19357567049356
4,"('abs_wv_609_129', 'abs_wv_580_083', 'abs_wv_555_187', 'abs_wv_744_502')",62.39687530199999
4,"('abs_wv_627_801', 'abs_wv_580_083', 'abs_wv_555_187', 'abs_wv_744_502')",62.462375109559574
4,"('abs_wv_609_129', 'abs_wv_596_162', 'abs_wv_580_083', 'abs_wv_555_187')",63.98101295324925
4,"('abs_wv_627_801', 'abs_wv_580_083', 'abs_wv_573_34', 'abs_wv_552_075')",65.26783002052107
4,"('abs_wv_627_801', 'abs_wv_596_162', 'abs_wv_580_083', 'abs_wv_555_187')",65.96159936602842
4,"('abs_wv_627_801', 'abs_wv_580_083', 'abs_wv_573_34', 'abs_wv_555_187')",66.78370961628085
