

lambda(m), Y
4e-07, 0.0423184
4.0096e-07, 0.0414629
4.0192e-07, 0.0406288
4.0288e-07, 0.0398209
4.0384e-07, 0.0389913
4.048e-07, 0.0381633
4.05761e-07, 0.0373339
4.06721e-07, 0.0365162
4.07681e-07, 0.0357552
4.08641e-07, 0.0350154
4.09601e-07, 0.0343251
4.10561e-07, 0.033665
4.11521e-07, 0.0330003
4.12481e-07, 0.0323452
4.13441e-07, 0.0316971
4.14401e-07, 0.0310632
4.15362e-07, 0.0304702
4.16322e-07, 0.029926
4.17282e-07, 0.0294234
4.18242e-07, 0.0289629
4.19202e-07, 0.0285387
4.20162e-07, 0.028118
4.21122e-07, 0.0276838
4.22082e-07, 0.0272297
4.23042e-07, 0.0267512
4.24002e-07, 0.0262816
4.24962e-07, 0.0257981
4.25923e-07, 0.0253548
4.26883e-07, 0.0249041
4.27843e-07, 0.0244134
4.28803e-07, 0.0239279
4.29763e-07, 0.023326
4.30723e-07, 0.0226808
4.31683e-07, 0.0222594
4.32643e-07, 0.0218811
4.33603e-07, 0.0215417
4.34563e-07, 0.0212432
4.35524e-07, 0.0209852
4.36484e-07, 0.0207644
4.37444e-07, 0.0205764
4.38404e-07, 0.0204148
4.39364e-07, 0.0202683
4.40324e-07, 0.0201212
4.41284e-07, 0.0199623
4.42244e-07, 0.0197938
4.43204e-07, 0.0196292
4.44164e-07, 0.0194813
4.45125e-07, 0.0193516
4.46085e-07, 0.0192287
4.47045e-07, 0.0190943
4.48005e-07, 0.0189338
4.48965e-07, 0.0187449
4.49925e-07, 0.018538
4.50885e-07, 0.0183248
4.51845e-07, 0.0181034
4.52805e-07, 0.0178602
4.53765e-07, 0.0175927
4.54725e-07, 0.0173193
4.55686e-07, 0.0170515
4.56646e-07, 0.0167832
4.57606e-07, 0.0165197
4.58566e-07, 0.0162713
4.59526e-07, 0.0160341
4.60486e-07, 0.0158237
4.61446e-07, 0.0156587
4.62406e-07, 0.0155118
4.63366e-07, 0.0153677
4.64326e-07, 0.0152156
4.65287e-07, 0.0150275
4.66247e-07, 0.0148361
4.67207e-07, 0.0146739
4.68167e-07, 0.0145872
4.69127e-07, 0.0146234
4.70087e-07, 0.0147535
4.71047e-07, 0.0149334
4.72007e-07, 0.0150677
4.72967e-07, 0.0151093
4.73927e-07, 0.0150447
4.74887e-07, 0.014928
4.75848e-07, 0.0148247
4.76808e-07, 0.0148159
4.77768e-07, 0.0149308
4.78728e-07, 0.0151855
4.79688e-07, 0.0155257
4.80648e-07, 0.0158926
4.81608e-07, 0.0162105
4.82568e-07, 0.0164075
4.83528e-07, 0.0164776
4.84488e-07, 0.0164228
4.85449e-07, 0.0162829
4.86409e-07, 0.0161403
4.87369e-07, 0.0160252
4.88329e-07, 0.0159662
4.89289e-07, 0.0160234
4.90249e-07, 0.0162066
4.91209e-07, 0.0165006
4.92169e-07, 0.0168807
4.93129e-07, 0.0172547
4.94089e-07, 0.0175037
4.9505e-07, 0.0174682
4.9601e-07, 0.0170768
4.9697e-07, 0.0164764
4.9793e-07, 0.0155324
4.9889e-07, 0.0147481
