

lambda(m), Y
4e-07, 0.264258
4.0048e-07, 0.259231
4.0096e-07, 0.25905
4.0144e-07, 0.259381
4.0192e-07, 0.259635
4.024e-07, 0.259727
4.0288e-07, 0.259695
4.0336e-07, 0.259618
4.0384e-07, 0.259578
4.0432e-07, 0.259634
4.048e-07, 0.259802
4.05281e-07, 0.260056
4.05761e-07, 0.260336
4.06241e-07, 0.260558
4.06721e-07, 0.260641
4.07201e-07, 0.260526
4.07681e-07, 0.260191
4.08161e-07, 0.259659
4.08641e-07, 0.258994
4.09121e-07, 0.258281
4.09601e-07, 0.257606
4.10081e-07, 0.257036
4.10561e-07, 0.25661
4.11041e-07, 0.256331
4.11521e-07, 0.256167
4.12001e-07, 0.256067
4.12481e-07, 0.255969
4.12961e-07, 0.255814
4.13441e-07, 0.255566
4.13921e-07, 0.255216
4.14401e-07, 0.254783
4.14881e-07, 0.254312
4.15362e-07, 0.253855
4.15842e-07, 0.253465
4.16322e-07, 0.253181
4.16802e-07, 0.253019
4.17282e-07, 0.25297
4.17762e-07, 0.253009
4.18242e-07, 0.2531
4.18722e-07, 0.253206
4.19202e-07, 0.253298
4.19682e-07, 0.253352
4.20162e-07, 0.253351
4.20642e-07, 0.253292
4.21122e-07, 0.253186
4.21602e-07, 0.253068
4.22082e-07, 0.252987
4.22562e-07, 0.252988
4.23042e-07, 0.253082
4.23522e-07, 0.253236
4.24002e-07, 0.253389
4.24482e-07, 0.25349
4.24962e-07, 0.253537
4.25443e-07, 0.253563
4.25923e-07, 0.253605
4.26403e-07, 0.253652
4.26883e-07, 0.253652
4.27363e-07, 0.253558
4.27843e-07, 0.253375
4.28323e-07, 0.253163
4.28803e-07, 0.252988
4.29283e-07, 0.252864
4.29763e-07, 0.252758
4.30243e-07, 0.252631
4.30723e-07, 0.252477
4.31203e-07, 0.252311
4.31683e-07, 0.252138
4.32163e-07, 0.251951
4.32643e-07, 0.251759
4.33123e-07, 0.251587
4.33603e-07, 0.251422
4.34083e-07, 0.251199
4.34563e-07, 0.250854
4.35044e-07, 0.250412
4.35524e-07, 0.249962
4.36004e-07, 0.249529
4.36484e-07, 0.249015
4.36964e-07, 0.248317
4.37444e-07, 0.247491
4.37924e-07, 0.24672
4.38404e-07, 0.246106
4.38884e-07, 0.245559
4.39364e-07, 0.244947
4.39844e-07, 0.244289
4.40324e-07, 0.243728
4.40804e-07, 0.24332
4.41284e-07, 0.242951
4.41764e-07, 0.242466
4.42244e-07, 0.241846
4.42724e-07, 0.241219
4.43204e-07, 0.240704
4.43684e-07, 0.240283
4.44164e-07, 0.239854
4.44644e-07, 0.239426
4.45125e-07, 0.239174
4.45605e-07, 0.239237
4.46085e-07, 0.239531
4.46565e-07, 0.239892
4.47045e-07, 0.240313
4.47525e-07, 0.240918
4.48005e-07, 0.241724
4.48485e-07, 0.242583
4.48965e-07, 0.243335
4.49445e-07, 0.243997
4.49925e-07, 0.244759
4.50405e-07, 0.245676
4.50885e-07, 0.246494
4.51365e-07, 0.247102
4.51845e-07, 0.247851
4.52325e-07, 0.248888
4.52805e-07, 0.249812
4.53285e-07, 0.25052
4.53765e-07, 0.251385
4.54245e-07, 0.252335
4.54725e-07, 0.253048
4.55206e-07, 0.253596
4.55686e-07, 0.25395
4.56166e-07, 0.254057
4.56646e-07, 0.254146
4.57126e-07, 0.253895
4.57606e-07, 0.253146
4.58086e-07, 0.252674
4.58566e-07, 0.252185
4.59046e-07, 0.251153
4.59526e-07, 0.250466
4.60006e-07, 0.249865
4.60486e-07, 0.249023
4.60966e-07, 0.248515
4.61446e-07, 0.247478
4.61926e-07, 0.246687
4.62406e-07, 0.245992
4.62886e-07, 0.244215
4.63366e-07, 0.243205
4.63846e-07, 0.241237
4.64326e-07, 0.239695
4.64806e-07, 0.237373
4.65287e-07, 0.235507
4.65767e-07, 0.233317
4.66247e-07, 0.232167
4.66727e-07, 0.2278
4.67207e-07, 0.225862
4.67687e-07, 0.225138
4.68167e-07, 0.224856
4.68647e-07, 0.22509
4.69127e-07, 0.225742
4.69607e-07, 0.226416
4.70087e-07, 0.22722
4.70567e-07, 0.228315
4.71047e-07, 0.229332
4.71527e-07, 0.230166
4.72007e-07, 0.231162
4.72487e-07, 0.232194
4.72967e-07, 0.233
4.73447e-07, 0.233922
