

lambda(m), Y
4e-07, 0.0971231
4.0048e-07, 0.0978365
4.0096e-07, 0.0986316
4.0144e-07, 0.0993799
4.0192e-07, 0.10017
4.024e-07, 0.10092
4.0288e-07, 0.101378
4.0336e-07, 0.101516
4.0384e-07, 0.101607
4.0432e-07, 0.101864
4.048e-07, 0.102253
4.05281e-07, 0.102725
4.05761e-07, 0.103402
4.06241e-07, 0.104417
4.06721e-07, 0.105672
4.07201e-07, 0.106894
4.07681e-07, 0.107901
4.08161e-07, 0.108702
4.08641e-07, 0.109357
4.09121e-07, 0.109823
4.09601e-07, 0.110019
4.10081e-07, 0.109981
4.10561e-07, 0.109896
4.11041e-07, 0.109961
4.11521e-07, 0.110236
4.12001e-07, 0.110646
4.12481e-07, 0.111086
4.12961e-07, 0.111514
4.13441e-07, 0.111935
4.13921e-07, 0.112314
4.14401e-07, 0.112551
4.14881e-07, 0.112531
4.15362e-07, 0.112208
4.15842e-07, 0.11165
4.16322e-07, 0.110997
4.16802e-07, 0.110386
4.17282e-07, 0.109889
4.17762e-07, 0.109514
4.18242e-07, 0.109231
4.18722e-07, 0.10901
4.19202e-07, 0.108825
4.19682e-07, 0.108641
4.20162e-07, 0.108403
4.20642e-07, 0.108035
4.21122e-07, 0.107468
4.21602e-07, 0.106671
4.22082e-07, 0.105671
4.22562e-07, 0.104559
4.23042e-07, 0.103459
4.23522e-07, 0.102497
4.24002e-07, 0.101768
4.24482e-07, 0.101317
4.24962e-07, 0.101137
4.25443e-07, 0.101179
4.25923e-07, 0.101375
4.26403e-07, 0.101649
4.26883e-07, 0.101938
4.27363e-07, 0.102202
4.27843e-07, 0.102422
4.28323e-07, 0.102608
4.28803e-07, 0.102796
4.29283e-07, 0.103033
4.29763e-07, 0.103375
4.30243e-07, 0.103869
4.30723e-07, 0.104542
4.31203e-07, 0.105393
4.31683e-07, 0.106387
4.32163e-07, 0.107462
4.32643e-07, 0.108535
4.33123e-07, 0.109522
4.33603e-07, 0.110349
4.34083e-07, 0.110965
4.34563e-07, 0.111352
4.35044e-07, 0.11153
4.35524e-07, 0.111548
4.36004e-07, 0.111479
4.36484e-07, 0.111399
4.36964e-07, 0.111379
4.37444e-07, 0.111468
4.37924e-07, 0.111685
4.38404e-07, 0.112022
4.38884e-07, 0.112441
4.39364e-07, 0.112888
4.39844e-07, 0.113299
4.40324e-07, 0.113617
4.40804e-07, 0.1138
4.41284e-07, 0.113827
4.41764e-07, 0.113708
4.42244e-07, 0.113477
4.42724e-07, 0.113194
4.43204e-07, 0.112931
4.43684e-07, 0.11276
4.44164e-07, 0.112746
4.44644e-07, 0.112929
4.45125e-07, 0.113321
4.45605e-07, 0.113901
4.46085e-07, 0.114618
4.46565e-07, 0.115399
4.47045e-07, 0.116158
4.47525e-07, 0.116812
4.48005e-07, 0.117293
4.48485e-07, 0.117561
4.48965e-07, 0.117606
4.49445e-07, 0.117454
4.49925e-07, 0.117153
4.50405e-07, 0.116772
4.50885e-07, 0.116376
4.51365e-07, 0.116024
4.51845e-07, 0.115751
4.52325e-07, 0.115563
4.52805e-07, 0.115441
4.53285e-07, 0.115344
4.53765e-07, 0.115219
4.54245e-07, 0.115011
4.54725e-07, 0.114672
4.55206e-07, 0.114175
4.55686e-07, 0.113512
4.56166e-07, 0.112705
4.56646e-07, 0.111793
4.57126e-07, 0.110834
4.57606e-07, 0.109894
4.58086e-07, 0.109037
4.58566e-07, 0.108319
4.59046e-07, 0.107778
4.59526e-07, 0.107433
4.60006e-07, 0.10728
4.60486e-07, 0.107294
4.60966e-07, 0.107434
4.61446e-07, 0.107648
4.61926e-07, 0.107879
4.62406e-07, 0.108074
4.62886e-07, 0.108198
4.63366e-07, 0.108238
4.63846e-07, 0.108208
4.64326e-07, 0.108136
4.64806e-07, 0.108069
4.65287e-07, 0.108063
4.65767e-07, 0.108179
4.66247e-07, 0.108473
4.66727e-07, 0.108987
4.67207e-07, 0.109718
4.67687e-07, 0.110672
4.68167e-07, 0.111805
4.68647e-07, 0.113048
4.69127e-07, 0.114324
4.69607e-07, 0.115554
4.70087e-07, 0.116669
4.70567e-07, 0.117619
4.71047e-07, 0.118384
4.71527e-07, 0.118967
4.72007e-07, 0.119398
4.72487e-07, 0.119718
4.72967e-07, 0.119975
4.73447e-07, 0.120207
4.73927e-07, 0.120444
4.74407e-07, 0.120705
4.74887e-07, 0.120999
4.75368e-07, 0.121327
4.75848e-07, 0.121685
4.76328e-07, 0.122054
4.76808e-07, 0.1224
4.77288e-07, 0.122674
4.77768e-07, 0.12282
4.78248e-07, 0.122793
4.78728e-07, 0.122571
4.79208e-07, 0.122169
4.79688e-07, 0.121633
4.80168e-07, 0.12102
4.80648e-07, 0.120382
4.81128e-07, 0.119752
4.81608e-07, 0.11915
4.82088e-07, 0.118591
4.82568e-07, 0.118104
4.83048e-07, 0.117728
4.83528e-07, 0.117494
4.84008e-07, 0.117407
4.84488e-07, 0.117436
4.84968e-07, 0.117526
4.85449e-07, 0.117622
4.85929e-07, 0.117698
4.86409e-07, 0.117751
4.86889e-07, 0.11778
4.87369e-07, 0.117768
4.87849e-07, 0.117677
4.88329e-07, 0.117481
4.88809e-07, 0.117185
4.89289e-07, 0.116835
4.89769e-07, 0.11649
4.90249e-07, 0.116192
4.90729e-07, 0.115954
4.91209e-07, 0.115779
4.91689e-07, 0.115679
4.92169e-07, 0.115685
4.92649e-07, 0.115825
4.93129e-07, 0.116099
4.93609e-07, 0.116475
4.94089e-07, 0.116899
4.94569e-07, 0.117335
4.9505e-07, 0.117774
4.9553e-07, 0.118221
4.9601e-07, 0.118663
4.9649e-07, 0.119058
4.9697e-07, 0.11937
4.9745e-07, 0.119608
4.9793e-07, 0.119827
4.9841e-07, 0.120071
4.9889e-07, 0.120334
4.9937e-07, 0.120584
4.9985e-07, 0.120824
5.0033e-07, 0.121109
5.0081e-07, 0.121467
5.0129e-07, 0.121853
5.0177e-07, 0.122186
5.0225e-07, 0.122436
5.0273e-07, 0.122637
5.0321e-07, 0.122799
5.0369e-07, 0.122858
5.0417e-07, 0.122748
5.0465e-07, 0.122494
5.05131e-07, 0.122181
5.05611e-07, 0.121842
5.06091e-07, 0.121433
5.06571e-07, 0.120951
5.07051e-07, 0.120486
5.07531e-07, 0.120122
5.08011e-07, 0.119836
5.08491e-07, 0.11957
5.08971e-07, 0.119348
5.09451e-07, 0.119243
5.09931e-07, 0.119241
5.10411e-07, 0.119247
5.10891e-07, 0.119224
5.11371e-07, 0.119225
5.11851e-07, 0.119255
5.12331e-07, 0.119224
5.12811e-07, 0.119079
5.13291e-07, 0.118875
5.13771e-07, 0.11865
5.14251e-07, 0.118355
5.14731e-07, 0.117957
5.15212e-07, 0.117531
5.15692e-07, 0.117145
5.16172e-07, 0.116781
5.16652e-07, 0.116427
5.17132e-07, 0.116149
5.17612e-07, 0.116005
5.18092e-07, 0.11597
5.18572e-07, 0.116015
5.19052e-07, 0.116171
5.19532e-07, 0.116457
5.20012e-07, 0.116828
5.20492e-07, 0.117243
5.20972e-07, 0.117709
5.21452e-07, 0.11823
5.21932e-07, 0.118773
5.22412e-07, 0.119306
5.22892e-07, 0.11984
5.23372e-07, 0.120398
5.23852e-07, 0.120962
5.24332e-07, 0.121503
5.24812e-07, 0.122054
5.25293e-07, 0.122647
5.25773e-07, 0.123247
5.26253e-07, 0.123838
5.26733e-07, 0.12448
5.27213e-07, 0.12518
5.27693e-07, 0.125885
5.28173e-07, 0.126619
5.28653e-07, 0.127436
5.29133e-07, 0.128287
5.29613e-07, 0.129131
5.30093e-07, 0.130014
5.30573e-07, 0.130931
5.31053e-07, 0.131799
5.31533e-07, 0.132613
5.32013e-07, 0.133408
5.32493e-07, 0.134121
5.32973e-07, 0.134692
5.33453e-07, 0.135175
5.33933e-07, 0.135571
5.34413e-07, 0.135799
5.34893e-07, 0.135895
5.35374e-07, 0.135936
5.35854e-07, 0.13585
5.36334e-07, 0.135632
5.36814e-07, 0.135409
