lambda,signal,smoothed_signal_tv_0.5_1000
4e-07,0.106786,0.11666117589974061
4.0048e-07,0.106923,0.11666223729112617
4.0096e-07,0.10742,0.11666435991954667
4.0144e-07,0.108142,0.11666754346080041
4.0192e-07,0.109033,0.11667178744630485
4.024e-07,0.110123,0.11667709122350388
4.0288e-07,0.111259,0.11668345400645268
4.0336e-07,0.112205,0.11669087481031364
4.0384e-07,0.112952,0.11669935252634811
4.0432e-07,0.113568,0.11670888583122126
4.048e-07,0.11396,0.11671947328535526
4.05281e-07,0.114131,0.11673111321804694
4.05761e-07,0.114325,0.11674380384781599
4.06241e-07,0.114658,0.11675754314462068
4.06721e-07,0.115074,0.11677232897053341
4.07201e-07,0.115694,0.11678815892061935
4.07681e-07,0.116644,0.11680503048199295
4.08161e-07,0.117742,0.11682294085520246
4.08641e-07,0.118845,0.11684188712946608
4.09121e-07,0.119995,0.11686186608668216
4.09601e-07,0.121033,0.11688287439041352
4.10081e-07,0.121722,0.11690490837491904
4.10561e-07,0.122129,0.11692796424524851
4.11041e-07,0.122312,0.11695203785396555
4.11521e-07,0.122162,0.1169771249095328
4.12001e-07,0.12181,0.11700322074366908
4.12481e-07,0.121507,0.11703032052504223
4.12961e-07,0.121235,0.11705841902047472
4.13441e-07,0.12103,0.11708751081081631
4.13921e-07,0.121103,0.11711759004948176
4.14401e-07,0.121376,0.11714865067724342
4.14881e-07,0.121671,0.11718068618185153
4.15362e-07,0.122076,0.11721368980836276
4.15842e-07,0.122468,0.11724765432385824
4.16322e-07,0.122582,0.11728257221980222
4.16802e-07,0.122508,0.11731843548613465
4.17282e-07,0.122229,0.11735523580202882
4.17762e-07,0.121581,0.11739296432389423
4.18242e-07,0.120764,0.11743161186076667
4.18722e-07,0.119916,0.11747116868101345
4.19202e-07,0.118974,0.1175116246684377
4.19682e-07,0.118148,0.11755296915273197
4.20162e-07,0.117588,0.11759519104220437
4.20642e-07,0.117151,0.11763827868327878
4.21122e-07,0.116918,0.11768221996554783
4.21602e-07,0.116925,0.11772700221586997
4.22082e-07,0.116892,0.11777261227121721
4.22562e-07,0.116833,0.1178190364131724
4.23042e-07,0.116732,0.11786626040376405
4.23522e-07,0.116327,0.1179142694664225
4.24002e-07,0.115738,0.11796304827967634
4.24482e-07,0.115016,0.11801258101088577
4.24962e-07,0.114053,0.1180628512623124
4.25443e-07,0.113094,0.118113842164214
4.25923e-07,0.112247,0.11816553626739022
4.26403e-07,0.111448,0.11821791570249765
4.26883e-07,0.11096,0.11827096201271815
4.27363e-07,0.110762,0.11832465638643841
4.27843e-07,0.110732,0.11837897942318659
4.28323e-07,0.111047,0.11843391144711872
4.28803e-07,0.111477,0.11848943219882599
4.29283e-07,0.111928,0.11854552123738284
4.29763e-07,0.112466,0.11860215755004572
4.30243e-07,0.112837,0.1186593200509463
4.30723e-07,0.113067,0.11871698710008856
4.31203e-07,0.11324,0.11877513710711575
4.31683e-07,0.113174,0.11883374795037348
4.32163e-07,0.113106,0.11889279769454107
4.32643e-07,0.113075,0.11895226389987258
4.33123e-07,0.113044,0.11901212446286054
4.33603e-07,0.113288,0.11907235680510476
4.34083e-07,0.11369,0.11913293884656738
4.34563e-07,0.114308,0.1191938480628618
4.35044e-07,0.115228,0.11925506260105884
4.35524e-07,0.116195,0.11931656019354747
4.36004e-07,0.117286,0.11937831942675854
4.36484e-07,0.118369,0.11944031849913762
4.36964e-07,0.119252,0.11950253665355914
4.37444e-07,0.120059,0.11956495276638371
4.37924e-07,0.120575,0.11962754695473347
4.38404e-07,0.120875,0.11969029898309647
4.38884e-07,0.121065,0.11975319005701449
4.39364e-07,0.121029,0.11981620103325918
4.39844e-07,0.121064,0.11987931441183677
4.40324e-07,0.12111,0.11994251233540947
4.40804e-07,0.121254,0.12000577879183465
4.41284e-07,0.121684,0.12006909738825523
4.41764e-07,0.122204,0.12013245377665176
4.42244e-07,0.12303,0.12019583318789022
4.42724e-07,0.123987,0.12025922309295953
4.43204e-07,0.125005,0.12032261048225931
4.43684e-07,0.126146,0.12038598477530707
4.44164e-07,0.127091,0.1204493348306832
4.44644e-07,0.127995,0.12051265211700818
4.45125e-07,0.128634,0.12057592743924843
4.45605e-07,0.129001,0.12063915438366742
4.46085e-07,0.129202,0.12070232574664519
4.46565e-07,0.129048,0.12076543726608341
4.47045e-07,0.128843,0.12082848373951088
4.47525e-07,0.128446,0.12089146305405733
4.48005e-07,0.128039,0.12095437198141384
4.48485e-07,0.127711,0.12101721051796976
4.48965e-07,0.127369,0.1210799773451751
4.49445e-07,0.127257,0.12114267449074793
4.49925e-07,0.127137,0.12120530244414796
4.50405e-07,0.127163,0.12126786514889758
4.50885e-07,0.127194,0.12133036476422211
4.51365e-07,0.127138,0.12139280699747891
4.51845e-07,0.127063,0.12145519550454774
4.52325e-07,0.126706,0.12151753757012333
4.52805e-07,0.126256,0.12157983814114484
4.53285e-07,0.125507,0.1216421058612753
4.53765e-07,0.124588,0.12170434673353424
4.54245e-07,0.123526,0.12176657051366414
4.54725e-07,0.122287,0.12182878400016514
4.55206e-07,0.121119,0.12189099778943652
4.55686e-07,0.119862,0.12195321919359602
4.56166e-07,0.118819,0.12201545935829065
4.56646e-07,0.117838,0.12207772581100004
4.57126e-07,0.11708,0.12214002994024623
4.57606e-07,0.116526,0.12220237917951421
4.58086e-07,0.116097,0.12226478484426802
4.58566e-07,0.115936,0.12232725395915385
4.59046e-07,0.115777,0.12238979744676576
4.59526e-07,0.115853,0.12245242160840718
4.60006e-07,0.115855,0.12251513665596367
4.60486e-07,0.115988,0.12257794785916476
4.60966e-07,0.116051,0.12264086440923544
4.61446e-07,0.116124,0.12270389024829946
4.61926e-07,0.116201,0.12276703325071882
4.62406e-07,0.116206,0.12283029575298798
4.62886e-07,0.116325,0.12289368403585839
4.63366e-07,0.116356,0.12295719857576497
4.63846e-07,0.116601,0.12302084380799784
4.64326e-07,0.1168,0.12308461812335307
4.64806e-07,0.117259,0.12314852388978544
4.65287e-07,0.117735,0.12321255722055875
4.65767e-07,0.118437,0.12327671822902078
4.66247e-07,0.119197,0.12334100059702002
4.66727e-07,0.120072,0.12340540203471644
4.67207e-07,0.121001,0.12346991368040564
4.67687e-07,0.121896,0.12353453073464771
4.68167e-07,0.122811,0.12359924172487147
4.68647e-07,0.123557,0.12366403928059773
4.69127e-07,0.124292,0.12372890929826233
4.69607e-07,0.124787,0.12379384182195885
4.70087e-07,0.125273,0.12385882014579641
4.70567e-07,0.12553,0.12392383176241815
4.71047e-07,0.125816,0.12398885744187638
4.71527e-07,0.125953,0.12405388220822547
4.72007e-07,0.126171,0.12411888443533137
4.72487e-07,0.12634,0.12418384681011632
4.72967e-07,0.126621,0.12424874548690343
4.73447e-07,0.126928,0.1243135609944304
4.73927e-07,0.127323,0.12437826749124434
4.74407e-07,0.127761,0.12444284357242648
4.74887e-07,0.128204,0.12450726166917973
4.75368e-07,0.128651,0.12457149871033804
4.75848e-07,0.128987,0.12463552570961535
4.76328e-07,0.129265,0.12469931823643049
4.76808e-07,0.129326,0.12476284623429743
4.77288e-07,0.129291,0.12482608425529826
4.77768e-07,0.128988,0.1248890015527785
4.78248e-07,0.128605,0.12495157203396233
4.78728e-07,0.127968,0.1250137646694646
4.79208e-07,0.127317,0.1250755531190761
4.79688e-07,0.126474,0.125136906499609
4.80168e-07,0.12571,0.12519779863979663
4.80648e-07,0.12483,0.12525819924664605
4.81128e-07,0.124112,0.12531808274670347
4.81608e-07,0.12334,0.1253774198893956
4.82088e-07,0.122784,0.12543618613361368
4.82568e-07,0.122204,0.12549435372448373
4.83048e-07,0.121863,0.12555189958631888
4.83528e-07,0.121502,0.1256087979068757
4.84008e-07,0.121381,0.1256650275002108
4.84488e-07,0.121232,0.12572056492976333
4.84968e-07,0.121316,0.1257753913075215
4.85449e-07,0.121365,0.12582948598423402
4.85929e-07,0.121643,0.12588283275452994
4.86409e-07,0.121877,0.12593541413922213
4.86889e-07,0.122337,0.12598721696961201
4.87369e-07,0.122744,0.12603822728322933
4.87849e-07,0.123365,0.12608843526446703
4.88329e-07,0.12392,0.12613783077123034
4.88809e-07,0.124667,0.12618640761325692
4.89289e-07,0.125331,0.12623415972305832
4.89769e-07,0.126162,0.1262810847577498
4.90249e-07,0.126895,0.12632718092339507
4.90729e-07,0.127768,0.1263724498908589
4.91209e-07,0.128534,0.126416894278254
4.91689e-07,0.129407,0.1264605198761893
4.92169e-07,0.130168,0.12650333378851247
4.92649e-07,0.130991,0.12654534596730638
4.93129e-07,0.1317,0.12658656800757276
4.93609e-07,0.132412,0.1266270139973698
4.94089e-07,0.133011,0.12666669995754637
4.94569e-07,0.133544,0.12670564401745604
4.9505e-07,0.133974,0.12674386648638009
4.9553e-07,0.134273,0.12678138937023484
4.9601e-07,0.13449,0.1268182370569733
4.9649e-07,0.134538,0.1268544351945573
4.9697e-07,0.134538,0.12689001196845906
4.9745e-07,0.134372,0.12692499636583202
4.9793e-07,0.134199,0.1269594200193002
4.9841e-07,0.133904,0.12699331488666762
4.9889e-07,0.133647,0.1270267156315381
4.9937e-07,0.133328,0.1270596567519909
4.9985e-07,0.133093,0.12709217546526513
5.0033e-07,0.132841,0.12712430832254093
5.0081e-07,0.132707,0.12715609456199647
5.0129e-07,0.132568,0.127187572250116
5.0177e-07,0.132554,0.12721878206491993
5.0225e-07,0.132519,0.12724976300702945
5.0273e-07,0.132576,0.12728055657281287
5.0321e-07,0.132587,0.12731120208073113
5.0369e-07,0.132617,0.12734174119255862
5.0417e-07,0.13258,0.1273722129022883
5.0465e-07,0.132473,0.12740265836248532
5.05131e-07,0.13229,0.12743311558422385
5.05611e-07,0.131963,0.12746362452502294
5.06091e-07,0.131561,0.127494221548911
5.06571e-07,0.130983,0.1275249447322697
5.07051e-07,0.130343,0.12755582813317817
5.07531e-07,0.12953,0.12758690727183886
5.08011e-07,0.12869,0.12761821325785308
5.08491e-07,0.127708,0.12764977840270095
5.08971e-07,0.126742,0.12768163025256485
5.09451e-07,0.125682,0.1277137972915527
5.09931e-07,0.12466,0.12774630292614825
5.10411e-07,0.123618,0.12777917123946578
