lambda	signal	smoothed_signal	increasing	local optima
4e-07	0.240174	0.24190652391720904		
4.0048e-07	0.241098	0.24193484805675283		
4.0096e-07	0.241614	0.2419912337265756		
4.0144e-07	0.241734	0.24207320336310295		
4.0192e-07	0.241592	0.24217733180809925		
4.024e-07	0.241393	0.2422995902847149		
4.0288e-07	0.241355	0.2424354729148272		
4.0336e-07	0.241631	0.24257902793862596		
4.0384e-07	0.242259	0.2427223371118384		
4.0432e-07	0.243149	0.2428553924192715		
4.048e-07	0.244114	0.2429675956157467		
4.05281e-07	0.24494	0.24304996064793646		
4.05761e-07	0.245458	0.243096946146462		
4.06241e-07	0.24559	0.2431065283525193		
4.06721e-07	0.245352	0.24307815413309317		
4.07201e-07	0.244828	0.24300666454613237		
4.07681e-07	0.244136	0.2428880332303851		
4.08161e-07	0.243409	0.24272094368655323		
4.08641e-07	0.242782	0.24250705557249416		
4.09121e-07	0.242358	0.24225001598691448		
4.09601e-07	0.242163	0.24195380164871666		
4.10081e-07	0.242128	0.24162125547889746		
4.10561e-07	0.242127	0.24125358313223846		
4.11041e-07	0.24202	0.24085076754381246		
4.11521e-07	0.241689	0.2404126922281218		
4.12001e-07	0.241062	0.2399407654493742		
4.12481e-07	0.240162	0.23943976013890667		
4.12961e-07	0.239114	0.2389186907978768		
4.13441e-07	0.238084	0.2383895726884454		
4.13921e-07	0.237175	0.23786456564219582		
4.14401e-07	0.236416	0.23735382185984433		
4.14881e-07	0.235832	0.23686490906805788		
4.15362e-07	0.23548	0.23640282923085698		
4.15842e-07	0.235353	0.23597004960766343		
4.16322e-07	0.235297	0.23556746827131164		
4.16802e-07	0.23511	0.2351965708028471		
4.17282e-07	0.234738	0.2348612906360702		
4.17762e-07	0.234246	0.23456790455536664		
4.18242e-07	0.233637	0.2343236601968639		
4.18722e-07	0.232929	0.2341356164846825		
4.19202e-07	0.232226	0.2340090873941051		
4.19682e-07	0.231599	0.233946051934068		
4.20162e-07	0.231252	0.2339447031435258		
4.20642e-07	0.231308	0.23400164152596578		
4.21122e-07	0.231479	0.2341232476241273		
4.21602e-07	0.231876	0.23431510037301811		
4.22082e-07	0.232648	0.23458045872286135		
4.22562e-07	0.23338	0.2349171939880349		
4.23042e-07	0.234212	0.2353190104534524		
4.23522e-07	0.234952	0.235774331352693		
4.24002e-07	0.235711	0.23626896362202568		
4.24482e-07	0.236629	0.2367857979035613		
4.24962e-07	0.237189	0.23730350577477283		
4.25443e-07	0.238255	0.23780509468187347		
4.25923e-07	0.239052	0.23826659796216562		
4.26403e-07	0.240378	0.23866993484091556		
4.26883e-07	0.241136	0.23899580923327898		
4.27363e-07	0.242653	0.23923745160216056		
4.27843e-07	0.243355	0.2393907143628042		
4.28323e-07	0.243691	0.2394631110953624		
4.28803e-07	0.244123	0.2394647314285928		
4.29283e-07	0.240024	0.23938907853507435		
4.29763e-07	0.239979	0.2392358733490592		
4.30243e-07	0.240044	0.23900729143945293		
4.30723e-07	0.239883	0.23870508022025697		
4.31203e-07	0.239388	0.23833230192688112		
4.31683e-07	0.238785	0.2378951308661978		
4.32163e-07	0.23815	0.2374017129376736		
4.32643e-07	0.237376	0.23686100298490145		
4.33123e-07	0.236668	0.23628416963324092		
4.33603e-07	0.236012	0.23568143460377097		
4.34083e-07	0.235261	0.2350619500477577		
4.34563e-07	0.234574	0.23443640733945073		
4.35044e-07	0.233848	0.23381451285451255		
4.35524e-07	0.232992	0.233206959326261		
4.36004e-07	0.232178	0.23262696345810924		
4.36484e-07	0.231285	0.232086956193207		
4.36964e-07	0.230371	0.23159984304697664		
4.37444e-07	0.229597	0.23117691878155036		
4.37924e-07	0.228845	0.23082519513262242		
4.38404e-07	0.228291	0.23054856206839416		
4.38884e-07	0.227946	0.23034659836475685		
4.39364e-07	0.227731	0.2302158649649892		
4.39844e-07	0.227805	0.2301512366754697		
4.40324e-07	0.227988	0.23014655613933718		
4.40804e-07	0.228332	0.2302025726797888		
4.41284e-07	0.228807	0.23032158090849836		
4.41764e-07	0.229262	0.23050272092321628		
4.42244e-07	0.229826	0.23074259848121442		
4.42724e-07	0.230305	0.23103495196466417		
4.43204e-07	0.23082	0.23137232932151264		
4.43684e-07	0.231322	0.2317459522293964		
4.44164e-07	0.231801	0.23214654138857355		
4.44644e-07	0.232368	0.2325647799635053		
4.45125e-07	0.232896	0.23299027771892733		
4.45605e-07	0.23355	0.23341300234452553		
4.46085e-07	0.23417	0.2338215879454312		
4.46565e-07	0.234857	0.23420538039529776		
4.47045e-07	0.235501	0.2345537002766416		
4.47525e-07	0.236091	0.2348576518629595		
4.48005e-07	0.236621	0.23511006634350073		
4.48485e-07	0.236984	0.23530664748489588		
4.48965e-07	0.237286	0.23544460930639613		
4.49445e-07	0.237376	0.23552486379003976		
4.49925e-07	0.237435	0.23554728759573332		
4.50405e-07	0.237296	0.23551527537540057		
4.50885e-07	0.237166	0.23542301560761866		
4.51365e-07	0.236869	0.23526840686091982		
4.51845e-07	0.236603	0.23504787409174555		
4.52325e-07	0.236183	0.23476077513396454		
4.52805e-07	0.235799	0.2344070832552111		
4.53285e-07	0.235254	0.23398799226409484		
4.53765e-07	0.234738	0.23350658078638312		
4.54245e-07	0.23404	0.23296635741161822		
4.54725e-07	0.23337	0.2323738671635112		
4.55206e-07	0.232498	0.23173599421359203		
4.55686e-07	0.231675	0.23106405014530496		
4.56166e-07	0.230646	0.2303695132439488		
4.56646e-07	0.229713	0.22966908407618514		
4.57126e-07	0.228598	0.22897829508243742		
4.57606e-07	0.227635	0.2283166138048942		
4.58086e-07	0.226554	0.22769967992259538		
4.58566e-07	0.225674	0.22714349376534237		
4.59046e-07	0.224787	0.2266579301535899		
4.59526e-07	0.224122	0.22624993273656235		
4.60006e-07	0.223582	0.22592079391340242		
4.60486e-07	0.223239	0.22566863260557987		
4.60966e-07	0.223118	0.2254885201171473		
4.61446e-07	0.223121	0.22537440389623142		
4.61926e-07	0.223358	0.22531911749105657		
4.62406e-07	0.223637	0.2253163532226037		
4.62886e-07	0.224076	0.22536699165781474		
4.63366e-07	0.224511	0.22546980742233194		
4.63846e-07	0.224993	0.22562034740005893		
4.64326e-07	0.225461	0.22581260781891244		
4.64806e-07	0.225894	0.22603932972871493		
4.65287e-07	0.226305	0.22629319145226978		
4.65767e-07	0.22666	0.22656714439473655		
4.66247e-07	0.226984	0.2268550851625158		
4.66727e-07	0.227265	0.22715176792996153		
4.67207e-07	0.227537	0.22745286821982771		
4.67687e-07	0.227771	0.22775455444275106		
4.68167e-07	0.228037	0.2280534728005635		
4.68647e-07	0.228294	0.2283459974985695		
4.69127e-07	0.22858	0.22862828816272573		
4.69607e-07	0.228935	0.22889583681371597		
4.70087e-07	0.229277	0.2291431493701432		
4.70567e-07	0.229715	0.2293643047814112		
4.71047e-07	0.230156	0.22955261869835752		
4.71527e-07	0.230579	0.22970163319505502		
4.72007e-07	0.231042	0.2298057756690533		
4.72487e-07	0.231378	0.22986079691056907		
4.72967e-07	0.23166	0.22986465168162876		
4.73447e-07	0.231842	0.22981831217236745		
4.73927e-07	0.231824	0.22971580067885988		
4.74407e-07	0.231725	0.22955077870944185		
4.74887e-07	0.23144	0.22931724190054778		
4.75368e-07	0.230996	0.22901032127106816		
4.75848e-07	0.230484	0.22862719198642054		
4.76328e-07	0.229794	0.22816697476180361		
4.76808e-07	0.229037	0.2276325715962815		
4.77288e-07	0.228228	0.22703006415378194		
4.77768e-07	0.227272	0.2263685733281165		
4.78248e-07	0.226309	0.22566228822584275		
4.78728e-07	0.225286	0.22492785879738533		
4.79208e-07	0.224141	0.22418515902940625		
4.79688e-07	0.223029	0.22345824054643026		
4.80168e-07	0.22189	0.22277064064218366		
4.80648e-07	0.220717	0.22214513471405103		
4.81128e-07	0.219679	0.22160167088249663		
4.81608e-07	0.218751	0.2211527923089949		
4.82088e-07	0.217958	0.22080408202432447		
4.82568e-07	0.21743	0.220554627550495		
4.83048e-07	0.217137	0.22039798476486855		
4.83528e-07	0.217095	0.2203248650740136		
4.84008e-07	0.217344	0.22032492250506341		
4.84488e-07	0.217784	0.2204011253769608		
