lambda	signal	optima_preserving_denoising
4e-07	0.11287	0.10989660167408886
4.0048e-07	0.112357	0.1098618346626984
4.0096e-07	0.111678	0.109789060880553
4.0144e-07	0.110952	0.10967680202268236
4.0192e-07	0.110292	0.10952581784031207
4.024e-07	0.109778	0.10933879524927545
4.0288e-07	0.109442	0.10911941119391774
4.0336e-07	0.109262	0.10887129362574258
4.0384e-07	0.109175	0.10859737535866448
4.0432e-07	0.109092	0.10829979970616121
4.048e-07	0.10892	0.1079803383648624
4.05281e-07	0.108591	0.10764118211794156
4.05761e-07	0.108071	0.10728584399700243
4.06241e-07	0.107368	0.10691993468877217
4.06721e-07	0.106531	0.10655141152838936
4.07201e-07	0.105639	0.10618995161085916
4.07681e-07	0.104784	0.10584549891136939
4.08161e-07	0.104057	0.10552657624087133
4.08641e-07	0.103524	0.1052391083739132
4.09121e-07	0.103218	0.10498624088927469
4.09601e-07	0.103128	0.10476894319061876
4.10081e-07	0.103201	0.10458696164156689
4.10561e-07	0.103355	0.10443969757501068
4.11041e-07	0.103495	0.10432678267595633
4.11521e-07	0.103537	0.1042482885951687
4.12001e-07	0.103428	0.10420457394540208
4.12481e-07	0.103165	0.10419582653506843
4.12961e-07	0.102796	0.10422048953625822
4.13441e-07	0.102413	0.10427986949790258
4.13921e-07	0.102124	0.10437659650194098
4.14401e-07	0.102027	0.1045140280694081
4.14881e-07	0.102183	0.10469598208275283
4.15362e-07	0.102597	0.10492603703046605
4.15842e-07	0.10323	0.10520652423958293
4.16322e-07	0.104016	0.10553746882353227
4.16802e-07	0.104884	0.10591591308951286
4.17282e-07	0.105769	0.1063359590566359
4.17762e-07	0.106618	0.10678960906149051
4.18242e-07	0.107383	0.107268106591538
4.18722e-07	0.108019	0.10776342259670421
4.19202e-07	0.108505	0.10826953779618913
4.19682e-07	0.108855	0.10878304573999573
4.20162e-07	0.109136	0.1093029994114924
4.20642e-07	0.109448	0.10982991387298079
4.21122e-07	0.109887	0.1103642644295652
4.21602e-07	0.110497	0.11090490231526162
4.22082e-07	0.111257	0.11144808921639485
4.22562e-07	0.112102	0.11198759883005091
4.23042e-07	0.112964	0.11251581487209122
4.23522e-07	0.1138	0.11302510496604938
4.24002e-07	0.114586	0.11350876123016584
4.24482e-07	0.115282	0.11396145809637681
4.24962e-07	0.115827	0.11437966628999702
4.25443e-07	0.116168	0.11476193059619184
4.25923e-07	0.116307	0.11510865357640941
4.26403e-07	0.116317	0.11542124215439542
4.26883e-07	0.116314	0.11570098036618623
4.27363e-07	0.116384	0.11594811985529684
4.27843e-07	0.116552	0.11616162137514909
4.28323e-07	0.116804	0.11633947893352133
