lambda	signal	optima_preserving_denoising
4e-07	0.00821137	0.008106193316764198
4.0096e-07	0.0081357	0.008076927926541775
4.0192e-07	0.00806571	0.00801224898685096
4.0288e-07	0.00798657	0.007923497697419218
4.0384e-07	0.00788629	0.007796805718518392
4.048e-07	0.00772636	0.007645429347268304
4.05761e-07	0.00753495	0.007456980227025133
4.06721e-07	0.00728964	0.00724085901074508
4.07681e-07	0.00704181	0.006993324011412894
4.08641e-07	0.00677863	0.006715758214402912
4.09601e-07	0.00647572	0.006407421100543338
4.10561e-07	0.00619565	0.006074144277046259
4.11521e-07	0.00578237	0.005721349742273933
4.12481e-07	0.00518234	0.0053829475722271605
4.13441e-07	0.00483243	0.005095850081002977
4.14401e-07	0.00468984	0.004883537511318039
4.15362e-07	0.00460955	0.004733148903111107
4.16322e-07	0.00456646	0.004636411912672004
4.17282e-07	0.0045439	0.004576041540487862
4.18242e-07	0.00452905	0.004535111868319387
4.19202e-07	0.00451991	0.004500818726924698
4.20162e-07	0.00450082	0.004461486813590573
4.21122e-07	0.00446168	0.004412256633661432
4.22082e-07	0.00439916	0.00434526752080129
4.23042e-07	0.00430306	0.004264457626982966
4.24002e-07	0.0041979	0.0041640363925372825
4.24962e-07	0.00407369	0.0040517951122651975
4.25923e-07	0.00394776	0.003925483143925344
4.26883e-07	0.00381447	0.0037905620811080377
4.27843e-07	0.00366152	0.003648798560084331
4.28803e-07	0.00350098	0.0035045190055081176
4.29763e-07	0.00334094	0.0033634111407848458
4.30723e-07	0.0031905	0.003230478818463043
4.31683e-07	0.00306288	0.0031106118299198773
4.32643e-07	0.00296215	0.0030066217389444413
4.33603e-07	0.00288157	0.002919561784532736
4.34563e-07	0.00281337	0.0028494194733373742
4.35524e-07	0.00275683	0.002795489797047944
4.36484e-07	0.00271698	0.0027566086242533853
4.37444e-07	0.00269744	0.0027310907370651887
4.38404e-07	0.00269548	0.002716683861549889
4.39364e-07	0.00270217	0.0027111167840979857
4.40324e-07	0.00270773	0.0027119992019395247
4.41284e-07	0.00270972	0.002718146724943908
4.42244e-07	0.00271505	0.002727831529421774
4.43204e-07	0.00272877	0.002740633263688981
4.44164e-07	0.00275197	0.0027544294414575863
4.45125e-07	0.00277833	0.002767627838071144
4.46085e-07	0.00280032	0.002777692588981541
4.47045e-07	0.00280771	0.0027815826752820346
4.48005e-07	0.00279619	0.0027791041976808267
4.48965e-07	0.00278133	0.002759512772984649
4.49925e-07	0.00277544	0.00273516644523472
4.50885e-07	0.00276287	0.0026718266430912864
4.51845e-07	0.00269011	0.0026131937977370667
4.52805e-07	0.00260199	0.0025016835999883916
4.53765e-07	0.00234951	0.0024112205818213337
4.54725e-07	0.00224489	0.0022890437019884857
4.55686e-07	0.00214524	0.0022056952729405705
4.56646e-07	0.00206098	0.0021213319791369254
4.57606e-07	0.00200488	0.0020712470809217554
4.58566e-07	0.0019823	0.0020348787666726736
4.59526e-07	0.00199097	0.0020150423784557558
4.60486e-07	0.00201548	0.002002154674911968
4.61446e-07	0.00202815	0.0019903546299793293
4.62406e-07	0.00200892	0.001976174656012659
4.63366e-07	0.00196399	0.001959926637077264
4.64326e-07	0.00191725	0.0019458323158112216
4.65287e-07	0.00188761	0.001939925427153338
4.66247e-07	0.0018838	0.0019470366707702537
4.67207e-07	0.00191314	0.0019689099825779552
4.68167e-07	0.00197767	0.002002696441629393
4.69127e-07	0.00206066	0.002040928710625797
4.70087e-07	0.00213114	0.0020736899050002706
4.71047e-07	0.0021661	0.002092157520190693
4.72007e-07	0.0021626	0.002091987726537792
4.72967e-07	0.00212712	0.0020738601544157665
4.73927e-07	0.00206192	0.0020439797998377013
4.74887e-07	0.00197652	0.0020137364743551146
4.75848e-07	0.00190457	0.001995248615548691
4.76808e-07	0.00188712	0.0019977067110766174
4.77768e-07	0.00194016	0.0020230975418480067
4.78728e-07	0.00203989	0.0020667903327071116
4.79688e-07	0.00215074	0.002115616529743388
4.80648e-07	0.00224501	0.002151202575830029
4.81608e-07	0.00229688	0.0021596859286727365
4.82568e-07	0.00228194	0.002131993706042893
4.83528e-07	0.0021762	0.0020697891825976608
4.84488e-07	0.00199943	0.0019834263820019994
4.85449e-07	0.00180908	0.0018976287112483427
4.86409e-07	0.00167257	0.0018383672250144663
4.87369e-07	0.0016289	0.001826337493257484
4.88329e-07	0.00168282	0.0018692636835264359
4.89289e-07	0.00182382	0.00197166113319582
4.90249e-07	0.0020444	0.002121698995033997
4.91209e-07	0.00231364	0.0022969765863483814
4.92169e-07	0.0025815	0.002464274320902967
4.93129e-07	0.00277836	0.0025956216294330736
4.94089e-07	0.00286776	0.0026730902759547963
4.9505e-07	0.00285475	0.0026955086952422866
4.9601e-07	0.00277096	0.002670107605022059
4.9697e-07	0.00264617	0.0026125672546857834
4.9793e-07	0.00249709	0.002544379782060098
4.9889e-07	0.00235479	0.002500602176839739
4.9985e-07	0.00228994	0.0024883285433958675
5.0081e-07	0.00234879	0.0025456412363332633
5.0177e-07	0.00252417	0.0026502795946302107
5.0273e-07	0.00266336	0.0028359336313729016
5.0369e-07	0.00295814	0.0030617568888246507
5.0465e-07	0.00331981	0.0033280448187725546
5.05611e-07	0.00368637	0.0035782620723970385
5.06571e-07	0.00400709	0.003779020941477471
5.07531e-07	0.00422212	0.003890634336087751
5.08491e-07	0.00425818	0.0039045852220691403
5.09451e-07	0.00409264	0.003823238262050898
5.10411e-07	0.00377867	0.0036543944794334452
5.11371e-07	0.00340407	0.003436648912328034
5.12331e-07	0.00305999	0.003227831052519348
5.13291e-07	0.00281009	0.0030848207799046797
5.14251e-07	0.00268496	0.0030447134794817244
5.15212e-07	0.00271595	0.003123018882390275
5.16172e-07	0.00294813	0.003345137124340784
5.17132e-07	0.00340855	0.003726958700578101
5.18092e-07	0.00407552	0.004256663693509955
5.19052e-07	0.00485939	0.00488650744092271
5.20012e-07	0.00564542	0.005543225993751127
5.20972e-07	0.00634146	0.0061557423779350015
5.21932e-07	0.00691353	0.006673356632690566
5.22892e-07	0.00736264	0.007063584037506351
5.23852e-07	0.0076722	0.007309822637250298
5.24812e-07	0.0078141	0.007412646369877304
5.25773e-07	0.00775219	0.007394162112963652
5.26733e-07	0.00749007	0.007266304087417491
5.27693e-07	0.00709374	0.00706315988515968
5.28653e-07	0.00667966	0.006850991069162428
5.29613e-07	0.00636791	0.006703559393696519
5.30573e-07	0.00623666	0.006670119866728891
5.31533e-07	0.00631721	0.0067711287966356285
5.32493e-07	0.00661348	0.007045675347645132
5.33453e-07	0.00713007	0.0075226827041160816
5.34413e-07	0.00788072	0.008214028586381986
5.35374e-07	0.00886909	0.009109803837625236
5.36334e-07	0.0100556	0.010168295504391701
5.37294e-07	0.0113441	0.011306673843564694
5.38254e-07	0.0126036	0.012411985909525868
5.39214e-07	0.0137068	0.013373817191977626
5.40174e-07	0.0145651	0.014116258106524724
5.41134e-07	0.0151368	0.014609910119393664
5.42094e-07	0.0154182	0.01486685846845927
5.43054e-07	0.0154298	0.014926983417527908
5.44014e-07	0.0152016	0.014825054603874219
5.44974e-07	0.0147779	0.014573948420015964
5.45935e-07	0.0142333	0.014233011504175415
5.46895e-07	0.0136797	0.013897220550807637
5.47855e-07	0.0132429	0.01366076754774098
5.48815e-07	0.0130323	0.013577928752589544
5.49775e-07	0.0131108	0.01365564355840654
5.50735e-07	0.0134766	0.013930041026068877
5.51695e-07	0.0140792	0.014426310191823234
5.52655e-07	0.0148628	0.0151395349715422
5.53615e-07	0.0158085	0.016049603449810917
5.54575e-07	0.0169267	0.017139125589517013
5.55536e-07	0.0182243	0.018392888161161077
5.56496e-07	0.019679	0.019784993268007114
5.57456e-07	0.0212356	0.02126845136348657
5.58416e-07	0.0228394	0.022776994917053317
5.59376e-07	0.0243803	0.024224262941038348
5.60336e-07	0.0257792	0.025530218004528954
5.61296e-07	0.0269589	0.026631859231970097
5.62256e-07	0.0279094	0.027489109702678517
5.63216e-07	0.0286088	0.028089520095845064
5.64176e-07	0.0290091	0.028426334324811047
5.65137e-07	0.0290227	0.028564064254708813
5.66097e-07	0.0289348	0.028510770945360444
5.67057e-07	0.0286304	0.02830970702900422
5.68017e-07	0.0281386	0.027955693452404468
5.68977e-07	0.0275282	0.0275299853358527
5.69937e-07	0.0269041	0.02712178940398302
5.70897e-07	0.0263862	0.02684048675768886
5.71857e-07	0.0260951	0.026752774201194
5.72817e-07	0.0261302	0.02686926751791994
5.73777e-07	0.0265642	0.027258327406454782
5.74737e-07	0.0274252	0.028003993902930225
5.75698e-07	0.0287116	0.029157439943887996
5.76658e-07	0.0303958	0.030719546850292212
5.77618e-07	0.0324382	0.032644923030622504
5.78578e-07	0.034754	0.03484098476233849
5.79538e-07	0.037195	0.03716464702732904
5.80498e-07	0.0395792	0.039451395795699035
5.81458e-07	0.0417681	0.04157545106465813
5.82418e-07	0.0436928	0.04348046886404912
5.83378e-07	0.0453599	0.04517375650170889
5.84338e-07	0.0468307	0.04669761588200701
5.85299e-07	0.0481899	0.04809965156056086
5.86259e-07	0.0494958	0.04940901751070996
5.87219e-07	0.0507569	0.05062341003436998
5.88179e-07	0.0519424	0.05170574021296801
5.89139e-07	0.0529685	0.05259067360837656
5.90099e-07	0.0537487	0.053214639243406546
5.91059e-07	0.0542369	0.05355318010687897
5.92019e-07	0.0543715	0.053636101199179456
