

lambda(m), Y
4e-07, 0.0940303
4.0096e-07, 0.0930226
4.0192e-07, 0.0921402
4.0288e-07, 0.0913458
4.0384e-07, 0.0906069
4.048e-07, 0.0899214
4.05761e-07, 0.0892899
4.06721e-07, 0.0887108
4.07681e-07, 0.0881929
4.08641e-07, 0.0877524
4.09601e-07, 0.0873963
4.10561e-07, 0.0871101
4.11521e-07, 0.0868644
4.12481e-07, 0.0866332
4.13441e-07, 0.0864099
4.14401e-07, 0.0862027
4.15362e-07, 0.0860111
4.16322e-07, 0.0858108
4.17282e-07, 0.0855802
4.18242e-07, 0.0853398
4.19202e-07, 0.0850893
4.20162e-07, 0.0847442
4.21122e-07, 0.08431
4.22082e-07, 0.0838842
4.23042e-07, 0.0834777
4.24002e-07, 0.0830875
4.24962e-07, 0.0825525
4.25923e-07, 0.0820931
4.26883e-07, 0.0815018
4.27843e-07, 0.0809047
4.28803e-07, 0.0803284
4.29763e-07, 0.0797426
4.30723e-07, 0.0793026
4.31683e-07, 0.0786447
4.32643e-07, 0.0781566
4.33603e-07, 0.0774868
4.34563e-07, 0.076448
4.35524e-07, 0.0743865
4.36484e-07, 0.0738299
4.37444e-07, 0.0737851
4.38404e-07, 0.0736927
4.39364e-07, 0.0736593
4.40324e-07, 0.0734935
4.41284e-07, 0.0732983
4.42244e-07, 0.0731596
4.43204e-07, 0.0729405
4.44164e-07, 0.0726589
4.45125e-07, 0.0724167
4.46085e-07, 0.0721798
4.47045e-07, 0.0718791
4.48005e-07, 0.071538
4.48965e-07, 0.0712145
4.49925e-07, 0.0709137
4.50885e-07, 0.070595
4.51845e-07, 0.0702271
4.52805e-07, 0.0698196
4.53765e-07, 0.0694177
4.54725e-07, 0.0690774
4.55686e-07, 0.0688293
4.56646e-07, 0.0686533
4.57606e-07, 0.0684873
4.58566e-07, 0.0682687
4.59526e-07, 0.0679759
4.60486e-07, 0.0676446
4.61446e-07, 0.0673512
4.62406e-07, 0.0671731
4.63366e-07, 0.0671447
4.64326e-07, 0.0672349
4.65287e-07, 0.0673617
4.66247e-07, 0.0674314
4.67207e-07, 0.0673809
4.68167e-07, 0.0672098
4.69127e-07, 0.0669977
4.70087e-07, 0.0668736
4.71047e-07, 0.0669042
4.72007e-07, 0.0670475
4.72967e-07, 0.0673048
4.73927e-07, 0.0676639
4.74887e-07, 0.0679062
4.75848e-07, 0.0680155
4.76808e-07, 0.0680454
4.77768e-07, 0.0678522
4.78728e-07, 0.0676996
4.79688e-07, 0.0674478
4.80648e-07, 0.0674449
4.81608e-07, 0.0673708
4.82568e-07, 0.067624
4.83528e-07, 0.0675891
