

lambda(m), Y
4e-07, 0.01105
4.0096e-07, 0.0105261
4.0192e-07, 0.0100495
4.0288e-07, 0.00965381
4.0384e-07, 0.00933095
4.048e-07, 0.00905808
4.05761e-07, 0.00884745
4.06721e-07, 0.00866674
4.07681e-07, 0.00853721
4.08641e-07, 0.00843224
4.09601e-07, 0.00835326
4.10561e-07, 0.00827155
4.11521e-07, 0.00818138
4.12481e-07, 0.00807536
4.13441e-07, 0.00795957
4.14401e-07, 0.00783898
4.15362e-07, 0.00772181
4.16322e-07, 0.00758775
4.17282e-07, 0.00745488
4.18242e-07, 0.00729369
4.19202e-07, 0.0071345
4.20162e-07, 0.006975
4.21122e-07, 0.00678741
4.22082e-07, 0.00667494
4.23042e-07, 0.00616735
4.24002e-07, 0.00588086
4.24962e-07, 0.00564129
4.25923e-07, 0.00542512
4.26883e-07, 0.00523312
4.27843e-07, 0.00506271
4.28803e-07, 0.00490943
4.29763e-07, 0.00477149
4.30723e-07, 0.00464568
4.31683e-07, 0.0045298
4.32643e-07, 0.00442636
4.33603e-07, 0.00433914
4.34563e-07, 0.00426938
4.35524e-07, 0.00421396
4.36484e-07, 0.0041662
4.37444e-07, 0.00412096
4.38404e-07, 0.004079
4.39364e-07, 0.00404435
4.40324e-07, 0.00401913
4.41284e-07, 0.00400174
4.42244e-07, 0.00398661
4.43204e-07, 0.0039654
4.44164e-07, 0.00393322
4.45125e-07, 0.00389336
4.46085e-07, 0.00385226
4.47045e-07, 0.00381167
4.48005e-07, 0.0037683
4.48965e-07, 0.00371767
4.49925e-07, 0.00365501
4.50885e-07, 0.00357835
4.51845e-07, 0.00349654
4.52805e-07, 0.00342633
4.53765e-07, 0.00337765
4.54725e-07, 0.00334937
4.55686e-07, 0.00333458
4.56646e-07, 0.00332395
4.57606e-07, 0.00330636
4.58566e-07, 0.00327354
4.59526e-07, 0.00323757
4.60486e-07, 0.00322194
4.61446e-07, 0.00324795
4.62406e-07, 0.00331461
4.63366e-07, 0.00340695
4.64326e-07, 0.00350738
4.65287e-07, 0.00360437
4.66247e-07, 0.00366531
4.67207e-07, 0.00366135
4.68167e-07, 0.00362226
4.69127e-07, 0.00336907
4.70087e-07, 0.00322692
4.71047e-07, 0.00317283
4.72007e-07, 0.00315288
4.72967e-07, 0.0031648
4.73927e-07, 0.00318782
4.74887e-07, 0.00317946
4.75848e-07, 0.0030978
4.76808e-07, 0.00294524
4.77768e-07, 0.00274197
4.78728e-07, 0.0025477
4.79688e-07, 0.00239284
4.80648e-07, 0.00231259
4.81608e-07, 0.00233108
4.82568e-07, 0.0024576
4.83528e-07, 0.00266459
4.84488e-07, 0.0028833
4.85449e-07, 0.00304823
4.86409e-07, 0.00312013
4.87369e-07, 0.00311479
4.88329e-07, 0.0030408
4.89289e-07, 0.00292791
4.90249e-07, 0.00278402
4.91209e-07, 0.00266207
4.92169e-07, 0.00262751
4.93129e-07, 0.00272573
4.94089e-07, 0.00295435
4.9505e-07, 0.00327816
4.9601e-07, 0.00362617
4.9697e-07, 0.00397561
4.9793e-07, 0.00429557
4.9889e-07, 0.00451896
4.9985e-07, 0.00458935
5.0081e-07, 0.00446297
5.0177e-07, 0.00414556
5.0273e-07, 0.00373097
5.0369e-07, 0.00334597
5.0465e-07, 0.00308091
5.05611e-07, 0.00298852
5.06571e-07, 0.00310137
5.07531e-07, 0.00342769
5.08491e-07, 0.00394238
5.09451e-07, 0.00457478
5.10411e-07, 0.00521081
5.11371e-07, 0.00573278
5.12331e-07, 0.00606118
5.13291e-07, 0.00616816
5.14251e-07, 0.00607195
5.15212e-07, 0.00582298
5.16172e-07, 0.0054861
5.17132e-07, 0.00511932
5.18092e-07, 0.00477955
5.19052e-07, 0.00454263
5.20012e-07, 0.00446992
5.20972e-07, 0.00460482
5.21932e-07, 0.00493322
5.22892e-07, 0.0054246
5.23852e-07, 0.00602686
5.24812e-07, 0.00676318
5.25773e-07, 0.00759524
5.26733e-07, 0.00843435
5.27693e-07, 0.00914424
5.28653e-07, 0.00983105
5.29613e-07, 0.0102757
5.30573e-07, 0.0104096
5.31533e-07, 0.0102316
5.32493e-07, 0.00980836
5.33453e-07, 0.00924959
5.34413e-07, 0.00866722
5.35374e-07, 0.00814987
5.36334e-07, 0.00776583
5.37294e-07, 0.00757679
5.38254e-07, 0.007642
5.39214e-07, 0.00800655
5.40174e-07, 0.00867941
5.41134e-07, 0.00962048
5.42094e-07, 0.0107508
5.43054e-07, 0.0119755
5.44014e-07, 0.0132049
5.44974e-07, 0.0143689
5.45935e-07, 0.0154253
5.46895e-07, 0.0163554
5.47855e-07, 0.0171446
5.48815e-07, 0.0177614
5.49775e-07, 0.0181615
5.50735e-07, 0.0183126
5.51695e-07, 0.0182163
5.52655e-07, 0.017908
5.53615e-07, 0.0174454
5.54575e-07, 0.0168981
5.55536e-07, 0.0163462
5.56496e-07, 0.0158878
5.57456e-07, 0.0156429
5.58416e-07, 0.0157334
5.59376e-07, 0.0162395
5.60336e-07, 0.0171675
5.61296e-07, 0.0184601
5.62256e-07, 0.0200251
5.63216e-07, 0.021756
5.64176e-07, 0.0235549
5.65137e-07, 0.0253658
5.66097e-07, 0.0271759
5.67057e-07, 0.0289818
5.68017e-07, 0.0307704
5.68977e-07, 0.0325027
5.69937e-07, 0.03406
5.70897e-07, 0.0352368
5.71857e-07, 0.0358611
5.72817e-07, 0.0359045
5.73777e-07, 0.0354616
5.74737e-07, 0.0347047
